PROVINCIA,COMUNE,TIPOLOGIA,STELLE,DENOMINAZIONE,INDIRIZZO,NUMERO CIVICO,CAP
BELLUNO,AURONZO DI CADORE,ALBERGO,3,PANORAMIC,Via Padova,15,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,SERENA,Via Reane,38,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,UNION,Via Unione,4 - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,VECELLIO,Via Pais,7 - Villagrande,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,3,VICTORIA,Via Cella,23 - Villapicccola,32041
BELLUNO,AURONZO DI CADORE,ALBERGO,2,VIENNA,Via Verona,2 - Villapiccola,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,CA' MIANI,Via Ligonto,150,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,CASA ALPINA DI SACILE,Via Giralba,3,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,CASA ALPINA DOMENICO SAVIO,Località Cosderuoibe,,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,CASA CIMACESTA,Via Giralba,12,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,CASA PARROCCHIALE DI FORMAZIONE LA MONTANARA,Località Cosderuoibe,16,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,GIRALBA,Via Giralba,6,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,LA RONDINELLA,Via Giralba,10,32041
BELLUNO,AURONZO DI CADORE,ALTRA RICETTIVITA',,SANTA MARIA ASSUNTA,Via Giralba,4,32041
BELLUNO,AURONZO DI CADORE,APPARTAMENTO,,CONDOMINIO SANTA CATERINA - MURANO EDILE IMMOBILIARE,Via Cella,33 e 34,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,AL LAGO,via Roma,48,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,BAZZO MARIA LUISA,Via Cima Gogna,25,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,B&B LE FRASENE,Via Cella,33 - frazione Cella,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,B&B SUL LAGO,Via Trieste,1,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,"""CASA TRE CIME"" FRANCO ZANDEGIACOMO",Via Tre Cime,22 - loc. Riziò,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,CATTARUZZA DORIGO TONINA,Via Cella,10 - fraz. Villapiccola,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,CIASA BORTOLIN 1882,Via Ligonto,19,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,DE MEIO LUCIA,Via Ligonto,34,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,DE TOMAS IN VECELLIO LUCIANA,Via Tarin,45,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,GENZIANELLA,Via Dolomiti,4,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,LA VARA,Via Monti,60,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,PARODI GIANLUCA,Via Padova,7,32041
BELLUNO,AURONZO DI CADORE,BED AND BREAKFAST,,PERIN CRESCENZIA,Via Tre Cime,20,32041
BELLUNO,AURONZO DI CADORE,CAMPEGGIO,2,EUROPA,Via Pause,21,32041
BELLUNO,AURONZO DI CADORE,FORESTERIA,,CIRCOLO S. MARTINO SILVELLE,Via Ligonto,3 - loc. Reane,32041
BELLUNO,AURONZO DI CADORE,RESIDENCE,,RESIDENCE AL LAGO,via Treviso,,32041
